"","Animal","Estimator","Area","Period.1","Period.2","Period.3","Period.4","Period.5","Period.6","Period.7","Period.8","Period.9","Period.10","Period.11","Period.12","Period.13","Period.14","Period.15","Period.16","Period.17","Period.18","Period.19","Period.20","Period.21","Period.22","Period.23","Period.24","Period.25","Period.26","Year"
"1",37703,"AKDE","plan",9.81069279636849,11.144027592495,5.02501160258414,9.38488916446764,5.32251954734513,6.09563170812963,10.8969037807528,1.93132149189742,3.43561293317587,5.41752318336471,1.82044438971869,10.8564135621784,6.22842484596398,8.60711618851909,5.69882819562031,2.22286517381068,7.53997415802212,6.80191365838227,19.5931431582712,3.39226810826224,10.4069063959124,5.87183335231086,1.78058686820967,9.13285472803793,7.26868086982294,10.0792088534856,2020
"2",37703,"AKDE","surf",10.8347091822735,12.2981690168652,5.50098993554398,10.2391269007637,5.86208861642577,6.69514589626546,12.0305564810111,2.08572338261337,3.76985349832742,5.96032622366324,1.95230271494335,11.9627796924094,6.8725132695872,9.54188259575703,6.24530264162147,2.42537885479674,8.33053274727373,7.49706680508523,21.4086671262314,3.71682483732154,11.4639257333567,6.45726776953499,1.93735710651125,9.95058209963351,7.79134966258872,10.9276869021172,2020
"3",37703,"BBMM","plan",2.85369200803481,3.42014805513407,2.95090668938609,2.87496476563429,3.04879555420937,3.61726120664473,4.73999787850795,1.23101769925841,2.94261307268049,1.49739787529092,1.74436001258348,5.27025550694121,2.22314144334319,3.90679672621876,2.59100335268056,2.20928839306093,2.38319422287254,2.13381379444256,3.27616320196456,1.60082400241389,1.98376389806775,2.89723160464829,1.82051479123499,3.18447773357756,3.46979039380611,2.11737708437258,2020
"4",37703,"BBMM","surf",3.11391034967123,3.70779273827056,3.22014446205588,3.11117091282974,3.30471435364389,3.95792378991985,5.19345563203128,1.30651424049389,3.22298646323595,1.61723759296047,1.87161847953809,5.7999645050782,2.46988364268596,4.33966385289835,2.75541854118931,2.41080733218843,2.56650966647226,2.34115800862059,3.6038971738002,1.70939928326797,2.15382798928389,3.17217846050856,1.98259147127229,3.43515539325913,3.7005822254453,2.28178132011358,2020
"5",37704,"AKDE","plan",31.7220498491206,15.0808283283435,2.758570684353,18.0401845663894,5.66267098280928,2.44361112096835,14.566786091031,3.38010606051047,15.128782218522,19.7588491457251,1.43841425210905,2.58779790634071,1.73534394802032,23.695759968486,6.11090780052203,5.40704565441424,5.71966668336193,5.88954006931183,2.55066079864614,28.082215989709,9.66904460452341,13.3116612772893,9.89622931489895,22.4399963108077,8.83540016361235,6.23461913201276,2020
"6",37704,"AKDE","surf",34.7674384347328,16.3097714351572,3.00575623133412,19.7328648549918,6.11846509062349,2.63075475052197,15.9142005032226,3.75374374575336,16.5297066590037,21.5654365579007,1.59195796817626,2.88376599927487,1.93857619551312,26.0019873521602,6.60647228083932,5.78509028996128,6.20568990852938,6.27109647145287,2.7930034433603,30.6048912380133,10.4481600554573,14.7309358579172,10.9590695083212,24.533788238086,9.64892412143518,6.87957739653952,2020
"7",37704,"BBMM","plan",3.31275654346516,3.89481290197038,2.14029981027184,4.1759307683166,2.33896341335752,1.92166455084138,3.2399120356735,1.74053500101636,2.40003144091853,1.97907395549021,1.15414710792955,2.29468896542233,1.56023289921825,4.40398933293828,4.36742488104046,3.54703887582893,3.86653631386389,3.3686026753024,2.26078400404601,5.87423995983454,3.00573007863152,3.27856193210098,3.75665921941957,6.54210052607485,3.42072934294688,2.86440373860782,2020
"8",37704,"BBMM","surf",3.65733466121881,4.18497760560963,2.34540589815929,4.63253239898121,2.51336035922165,2.07479884864431,3.56861346979639,1.93959174213825,2.65242964511908,2.22836298303555,1.28272389897471,2.56079370971981,1.74840150689212,4.89305197132407,4.70995049367654,3.7884742910856,4.19296498723749,3.59378051943833,2.47294444008137,6.32231820512703,3.29201015111899,3.64951912105889,4.17982033511216,7.20216637717717,3.74482020213266,3.22074857000349,2020
"9",37705,"AKDE","plan",33.3648941523883,6.20523986716349,3.85367482503557,13.5591145269308,17.4770723866768,45.2692536842873,10.2008416039299,4.50232030601364,9.28508429319617,2.04807165542974,7.2316973347162,3.80156916452588,3.32506640954651,11.5032974763419,5.28587125530351,7.57996778570314,2.47896025396821,1.44278293991435,13.7391887826654,14.7793695182492,6.65633689517574,12.052647572481,28.6020367338197,5.99986175516625,5.81196492826423,9.35412319152361,2020
"10",37705,"AKDE","surf",36.5676535697845,6.69566577548546,4.21000458400242,14.6440472967671,18.7391354756016,49.4465076862603,11.0528163124131,4.93625371206695,10.179531949941,2.25516577585031,7.94276610973703,4.15664318859027,3.65930521964057,12.5613718957771,5.74996681029539,8.38943292130243,2.7068956946332,1.57316791361036,14.936924066113,16.1285693423018,7.10457359655331,13.0824920994417,31.280987627779,6.44787550402798,6.22144105135056,10.1604132272925,2020
